DateKey,Date,Day,DayName,DayOfWeekNum,IsWeekend,Month,MonthName,MonthYear,Quarter,Year
20260315,2026-03-15,15,Sunday,7,False,3,March,Mar 2026,Q1,2026
20260316,2026-03-16,16,Monday,1,False,3,March,Mar 2026,Q1,2026
20260317,2026-03-17,17,Tuesday,2,False,3,March,Mar 2026,Q1,2026
20260318,2026-03-18,18,Wednesday,3,False,3,March,Mar 2026,Q1,2026
20260319,2026-03-19,19,Thursday,4,False,3,March,Mar 2026,Q1,2026
20260320,2026-03-20,20,Friday,5,True,3,March,Mar 2026,Q1,2026
20260321,2026-03-21,21,Saturday,6,True,3,March,Mar 2026,Q1,2026
20260322,2026-03-22,22,Sunday,7,False,3,March,Mar 2026,Q1,2026
20260323,2026-03-23,23,Monday,1,False,3,March,Mar 2026,Q1,2026
20260324,2026-03-24,24,Tuesday,2,False,3,March,Mar 2026,Q1,2026
20260325,2026-03-25,25,Wednesday,3,False,3,March,Mar 2026,Q1,2026
20260326,2026-03-26,26,Thursday,4,False,3,March,Mar 2026,Q1,2026
20260327,2026-03-27,27,Friday,5,True,3,March,Mar 2026,Q1,2026
20260328,2026-03-28,28,Saturday,6,True,3,March,Mar 2026,Q1,2026
20260329,2026-03-29,29,Sunday,7,False,3,March,Mar 2026,Q1,2026
20260330,2026-03-30,30,Monday,1,False,3,March,Mar 2026,Q1,2026
20260331,2026-03-31,31,Tuesday,2,False,3,March,Mar 2026,Q1,2026
20260401,2026-04-01,1,Wednesday,3,False,4,April,Apr 2026,Q2,2026
20260402,2026-04-02,2,Thursday,4,False,4,April,Apr 2026,Q2,2026
20260403,2026-04-03,3,Friday,5,True,4,April,Apr 2026,Q2,2026
20260404,2026-04-04,4,Saturday,6,True,4,April,Apr 2026,Q2,2026
20260405,2026-04-05,5,Sunday,7,False,4,April,Apr 2026,Q2,2026
20260406,2026-04-06,6,Monday,1,False,4,April,Apr 2026,Q2,2026
20260407,2026-04-07,7,Tuesday,2,False,4,April,Apr 2026,Q2,2026
20260408,2026-04-08,8,Wednesday,3,False,4,April,Apr 2026,Q2,2026
20260409,2026-04-09,9,Thursday,4,False,4,April,Apr 2026,Q2,2026
20260410,2026-04-10,10,Friday,5,True,4,April,Apr 2026,Q2,2026
20260411,2026-04-11,11,Saturday,6,True,4,April,Apr 2026,Q2,2026
20260412,2026-04-12,12,Sunday,7,False,4,April,Apr 2026,Q2,2026
20260413,2026-04-13,13,Monday,1,False,4,April,Apr 2026,Q2,2026
20260414,2026-04-14,14,Tuesday,2,False,4,April,Apr 2026,Q2,2026
