TimeKey,Hour,Minute,TimeSlot
700,7,0,Morning Rush
701,7,1,Morning Rush
702,7,2,Morning Rush
703,7,3,Morning Rush
704,7,4,Morning Rush
705,7,5,Morning Rush
706,7,6,Morning Rush
707,7,7,Morning Rush
708,7,8,Morning Rush
709,7,9,Morning Rush
710,7,10,Morning Rush
711,7,11,Morning Rush
712,7,12,Morning Rush
713,7,13,Morning Rush
714,7,14,Morning Rush
715,7,15,Morning Rush
716,7,16,Morning Rush
717,7,17,Morning Rush
718,7,18,Morning Rush
719,7,19,Morning Rush
720,7,20,Morning Rush
721,7,21,Morning Rush
722,7,22,Morning Rush
723,7,23,Morning Rush
724,7,24,Morning Rush
725,7,25,Morning Rush
726,7,26,Morning Rush
727,7,27,Morning Rush
728,7,28,Morning Rush
729,7,29,Morning Rush
730,7,30,Morning Rush
731,7,31,Morning Rush
732,7,32,Morning Rush
733,7,33,Morning Rush
734,7,34,Morning Rush
735,7,35,Morning Rush
736,7,36,Morning Rush
737,7,37,Morning Rush
738,7,38,Morning Rush
739,7,39,Morning Rush
740,7,40,Morning Rush
741,7,41,Morning Rush
742,7,42,Morning Rush
743,7,43,Morning Rush
744,7,44,Morning Rush
745,7,45,Morning Rush
746,7,46,Morning Rush
747,7,47,Morning Rush
748,7,48,Morning Rush
749,7,49,Morning Rush
750,7,50,Morning Rush
751,7,51,Morning Rush
752,7,52,Morning Rush
753,7,53,Morning Rush
754,7,54,Morning Rush
755,7,55,Morning Rush
756,7,56,Morning Rush
757,7,57,Morning Rush
758,7,58,Morning Rush
759,7,59,Morning Rush
800,8,0,Morning Rush
801,8,1,Morning Rush
802,8,2,Morning Rush
803,8,3,Morning Rush
804,8,4,Morning Rush
805,8,5,Morning Rush
806,8,6,Morning Rush
807,8,7,Morning Rush
808,8,8,Morning Rush
809,8,9,Morning Rush
810,8,10,Morning Rush
811,8,11,Morning Rush
812,8,12,Morning Rush
813,8,13,Morning Rush
814,8,14,Morning Rush
815,8,15,Morning Rush
816,8,16,Morning Rush
817,8,17,Morning Rush
818,8,18,Morning Rush
819,8,19,Morning Rush
820,8,20,Morning Rush
821,8,21,Morning Rush
822,8,22,Morning Rush
823,8,23,Morning Rush
824,8,24,Morning Rush
825,8,25,Morning Rush
826,8,26,Morning Rush
827,8,27,Morning Rush
828,8,28,Morning Rush
829,8,29,Morning Rush
830,8,30,Morning Rush
831,8,31,Morning Rush
832,8,32,Morning Rush
833,8,33,Morning Rush
834,8,34,Morning Rush
835,8,35,Morning Rush
836,8,36,Morning Rush
837,8,37,Morning Rush
838,8,38,Morning Rush
839,8,39,Morning Rush
840,8,40,Morning Rush
841,8,41,Morning Rush
842,8,42,Morning Rush
843,8,43,Morning Rush
844,8,44,Morning Rush
845,8,45,Morning Rush
846,8,46,Morning Rush
847,8,47,Morning Rush
848,8,48,Morning Rush
849,8,49,Morning Rush
850,8,50,Morning Rush
851,8,51,Morning Rush
852,8,52,Morning Rush
853,8,53,Morning Rush
854,8,54,Morning Rush
855,8,55,Morning Rush
856,8,56,Morning Rush
857,8,57,Morning Rush
858,8,58,Morning Rush
859,8,59,Morning Rush
900,9,0,Morning Rush
901,9,1,Morning Rush
902,9,2,Morning Rush
903,9,3,Morning Rush
904,9,4,Morning Rush
905,9,5,Morning Rush
906,9,6,Morning Rush
907,9,7,Morning Rush
908,9,8,Morning Rush
909,9,9,Morning Rush
910,9,10,Morning Rush
911,9,11,Morning Rush
912,9,12,Morning Rush
913,9,13,Morning Rush
914,9,14,Morning Rush
915,9,15,Morning Rush
916,9,16,Morning Rush
917,9,17,Morning Rush
918,9,18,Morning Rush
919,9,19,Morning Rush
920,9,20,Morning Rush
921,9,21,Morning Rush
922,9,22,Morning Rush
923,9,23,Morning Rush
924,9,24,Morning Rush
925,9,25,Morning Rush
926,9,26,Morning Rush
927,9,27,Morning Rush
928,9,28,Morning Rush
929,9,29,Morning Rush
930,9,30,Morning Rush
931,9,31,Morning Rush
932,9,32,Morning Rush
933,9,33,Morning Rush
934,9,34,Morning Rush
935,9,35,Morning Rush
936,9,36,Morning Rush
937,9,37,Morning Rush
938,9,38,Morning Rush
939,9,39,Morning Rush
940,9,40,Morning Rush
941,9,41,Morning Rush
942,9,42,Morning Rush
943,9,43,Morning Rush
944,9,44,Morning Rush
945,9,45,Morning Rush
946,9,46,Morning Rush
947,9,47,Morning Rush
948,9,48,Morning Rush
949,9,49,Morning Rush
950,9,50,Morning Rush
951,9,51,Morning Rush
952,9,52,Morning Rush
953,9,53,Morning Rush
954,9,54,Morning Rush
955,9,55,Morning Rush
956,9,56,Morning Rush
957,9,57,Morning Rush
958,9,58,Morning Rush
959,9,59,Morning Rush
1000,10,0,Morning Rush
1001,10,1,Morning Rush
1002,10,2,Morning Rush
1003,10,3,Morning Rush
1004,10,4,Morning Rush
1005,10,5,Morning Rush
1006,10,6,Morning Rush
1007,10,7,Morning Rush
1008,10,8,Morning Rush
1009,10,9,Morning Rush
1010,10,10,Morning Rush
1011,10,11,Morning Rush
1012,10,12,Morning Rush
1013,10,13,Morning Rush
1014,10,14,Morning Rush
1015,10,15,Morning Rush
1016,10,16,Morning Rush
1017,10,17,Morning Rush
1018,10,18,Morning Rush
1019,10,19,Morning Rush
1020,10,20,Morning Rush
1021,10,21,Morning Rush
1022,10,22,Morning Rush
1023,10,23,Morning Rush
1024,10,24,Morning Rush
1025,10,25,Morning Rush
1026,10,26,Morning Rush
1027,10,27,Morning Rush
1028,10,28,Morning Rush
1029,10,29,Morning Rush
1030,10,30,Midday Lunch
1031,10,31,Midday Lunch
1032,10,32,Midday Lunch
1033,10,33,Midday Lunch
1034,10,34,Midday Lunch
1035,10,35,Midday Lunch
1036,10,36,Midday Lunch
1037,10,37,Midday Lunch
1038,10,38,Midday Lunch
1039,10,39,Midday Lunch
1040,10,40,Midday Lunch
1041,10,41,Midday Lunch
1042,10,42,Midday Lunch
1043,10,43,Midday Lunch
1044,10,44,Midday Lunch
1045,10,45,Midday Lunch
1046,10,46,Midday Lunch
1047,10,47,Midday Lunch
1048,10,48,Midday Lunch
1049,10,49,Midday Lunch
1050,10,50,Midday Lunch
1051,10,51,Midday Lunch
1052,10,52,Midday Lunch
1053,10,53,Midday Lunch
1054,10,54,Midday Lunch
1055,10,55,Midday Lunch
1056,10,56,Midday Lunch
1057,10,57,Midday Lunch
1058,10,58,Midday Lunch
1059,10,59,Midday Lunch
1100,11,0,Midday Lunch
1101,11,1,Midday Lunch
1102,11,2,Midday Lunch
1103,11,3,Midday Lunch
1104,11,4,Midday Lunch
1105,11,5,Midday Lunch
1106,11,6,Midday Lunch
1107,11,7,Midday Lunch
1108,11,8,Midday Lunch
1109,11,9,Midday Lunch
1110,11,10,Midday Lunch
1111,11,11,Midday Lunch
1112,11,12,Midday Lunch
1113,11,13,Midday Lunch
1114,11,14,Midday Lunch
1115,11,15,Midday Lunch
1116,11,16,Midday Lunch
1117,11,17,Midday Lunch
1118,11,18,Midday Lunch
1119,11,19,Midday Lunch
1120,11,20,Midday Lunch
1121,11,21,Midday Lunch
1122,11,22,Midday Lunch
1123,11,23,Midday Lunch
1124,11,24,Midday Lunch
1125,11,25,Midday Lunch
1126,11,26,Midday Lunch
1127,11,27,Midday Lunch
1128,11,28,Midday Lunch
1129,11,29,Midday Lunch
1130,11,30,Midday Lunch
1131,11,31,Midday Lunch
1132,11,32,Midday Lunch
1133,11,33,Midday Lunch
1134,11,34,Midday Lunch
