SalesLineID,TransactionID,DateKey,TimeKey,StoreKey,ProductKey,PaymentKey,ChannelKey,Quantity,UnitPriceTND,UnitCostTND,LineRevenueTND,LineCostTND,LineProfitTND
1,100001,20260523,1956,3,7,1,2,1,4.3,1.8,4.3,1.8,2.5
2,100002,20260903,701,4,1,2,2,1,3.5,1.4,3.5,1.4,2.1
3,100003,20260706,1147,4,10,3,1,1,8.0,3.0,8.0,3.0,5.0
4,100003,20260706,1147,4,16,3,1,1,11.5,4.1,11.5,4.1,7.4
5,100004,20260601,932,2,5,2,1,1,4.8,2.0,4.8,2.0,2.8
6,100005,20260730,1610,3,4,2,4,1,4.5,1.9,4.5,1.9,2.6
7,100006,20260508,735,1,24,2,2,2,8.0,3.0,16.0,6.0,10.0
8,100006,20260508,735,1,11,2,2,1,10.5,3.8,10.5,3.8,6.7
9,100007,20260524,2049,4,5,1,2,1,4.8,2.0,4.8,2.0,2.8
10,100008,20260710,1026,2,18,1,3,1,5.0,1.8,5.0,1.8,3.2
11,100009,20260823,1705,2,9,1,1,1,9.0,3.4,9.0,3.4,5.6
12,100010,20260812,1853,1,6,1,3,2,5.0,2.1,10.0,4.2,5.8
13,100011,20260908,954,2,15,1,1,1,11.0,4.0,11.0,4.0,7.0
14,100012,20260613,2124,1,17,2,2,1,4.5,1.6,4.5,1.6,2.9
15,100013,20260812,1825,1,8,2,3,2,8.5,3.2,17.0,6.4,10.6
16,100013,20260812,1825,1,13,2,3,2,12.5,4.3,25.0,8.6,16.4
17,100013,20260812,1825,1,17,2,3,1,4.5,1.6,4.5,1.6,2.9
18,100014,20260620,949,1,1,3,3,2,3.5,1.4,7.0,2.8,4.2
19,100014,20260620,949,1,21,3,3,1,9.0,3.2,9.0,3.2,5.8
20,100015,20260316,839,3,19,1,1,1,5.5,2.0,5.5,2.0,3.5
21,100015,20260316,839,3,6,1,1,1,5.0,2.1,5.0,2.1,2.9
22,100016,20260521,1001,1,16,1,4,1,11.5,4.1,11.5,4.1,7.4
23,100016,20260521,1001,1,6,1,4,2,5.0,2.1,10.0,4.2,5.8
24,100016,20260521,1001,1,24,1,4,1,8.0,3.0,8.0,3.0,5.0
25,100017,20260906,1041,2,5,4,2,1,4.8,2.0,4.8,2.0,2.8
26,100018,20260817,1925,1,12,2,1,1,12.0,4.2,12.0,4.2,7.8
27,100019,20260508,1234,1,9,1,2,1,9.0,3.4,9.0,3.4,5.6
28,100020,20260401,1644,1,16,1,2,1,11.5,4.1,11.5,4.1,7.4
29,100021,20260503,2033,2,10,1,3,1,8.0,3.0,8.0,3.0,5.0
30,100022,20260503,1258,1,16,4,1,1,11.5,4.1,11.5,4.1,7.4
31,100022,20260503,1258,1,19,4,1,1,5.5,2.0,5.5,2.0,3.5
32,100023,20260713,1254,3,2,2,1,1,4.0,1.6,4.0,1.6,2.4
33,100024,20260911,916,1,3,2,2,1,3.8,1.5,3.8,1.5,2.3
34,100025,20260523,1705,2,5,2,4,1,4.8,2.0,4.8,2.0,2.8
35,100026,20260525,1713,2,22,4,3,1,9.5,3.6,9.5,3.6,5.9
36,100027,20260423,1140,1,15,1,2,2,11.0,4.0,22.0,8.0,14.0
37,100027,20260423,1140,1,3,1,2,1,3.8,1.5,3.8,1.5,2.3
38,100028,20260810,2137,2,23,2,1,1,9.0,3.4,9.0,3.4,5.6
39,100029,20260731,839,4,18,2,1,1,5.0,1.8,5.0,1.8,3.2
40,100030,20260519,2012,3,5,1,1,2,4.8,2.0,9.6,4.0,5.6
41,100031,20260805,845,4,17,4,4,2,4.5,1.6,9.0,3.2,5.8
42,100032,20260719,1842,4,16,1,4,2,11.5,4.1,23.0,8.2,14.8
43,100033,20260427,1915,3,11,2,2,1,10.5,3.8,10.5,3.8,6.7
44,100034,20260528,1641,3,10,2,3,1,8.0,3.0,8.0,3.0,5.0
45,100034,20260528,1641,3,18,2,3,1,5.0,1.8,5.0,1.8,3.2
46,100035,20260323,1922,4,4,2,1,1,4.5,1.9,4.5,1.9,2.6
47,100036,20260728,1918,4,12,1,1,1,12.0,4.2,12.0,4.2,7.8
48,100037,20260606,804,1,6,2,1,2,5.0,2.1,10.0,4.2,5.8
49,100038,20260330,1900,2,11,1,1,1,10.5,3.8,10.5,3.8,6.7
50,100038,20260330,1900,2,4,1,1,1,4.5,1.9,4.5,1.9,2.6
51,100039,20260621,1802,4,9,2,3,1,9.0,3.4,9.0,3.4,5.6
52,100039,20260621,1802,4,17,2,3,1,4.5,1.6,4.5,1.6,2.9
53,100040,20260614,1345,4,2,2,1,1,4.0,1.6,4.0,1.6,2.4
54,100040,20260614,1345,4,21,2,1,1,9.0,3.2,9.0,3.2,5.8
55,100040,20260614,1345,4,3,2,1,1,3.8,1.5,3.8,1.5,2.3
56,100041,20260828,1103,2,20,1,2,1,6.5,2.4,6.5,2.4,4.1
57,100041,20260828,1103,2,19,1,2,1,5.5,2.0,5.5,2.0,3.5
58,100042,20260517,933,3,9,1,1,1,9.0,3.4,9.0,3.4,5.6
59,100043,20260416,924,1,6,1,1,1,5.0,2.1,5.0,2.1,2.9
60,100044,20260615,1735,1,20,2,4,1,6.5,2.4,6.5,2.4,4.1
61,100045,20260730,921,1,1,1,1,1,3.5,1.4,3.5,1.4,2.1
62,100045,20260730,921,1,20,1,1,1,6.5,2.4,6.5,2.4,4.1
63,100046,20260620,950,1,7,1,1,1,4.3,1.8,4.3,1.8,2.5
64,100047,20260718,1820,2,15,1,1,1,11.0,4.0,11.0,4.0,7.0
65,100047,20260718,1820,2,9,1,1,1,9.0,3.4,9.0,3.4,5.6
66,100048,20260412,952,1,17,1,1,1,4.5,1.6,4.5,1.6,2.9
67,100049,20260914,1910,3,14,1,4,1,13.5,4.6,13.5,4.6,8.9
68,100049,20260914,1910,3,17,1,4,1,4.5,1.6,4.5,1.6,2.9
69,100049,20260914,1910,3,10,1,4,1,8.0,3.0,8.0,3.0,5.0
70,100050,20260902,1029,3,14,1,1,1,13.5,4.6,13.5,4.6,8.9
71,100050,20260902,1029,3,11,1,1,2,10.5,3.8,21.0,7.6,13.4
72,100051,20260407,1754,4,13,1,1,1,12.5,4.3,12.5,4.3,8.2
73,100051,20260407,1754,4,14,1,1,1,13.5,4.6,13.5,4.6,8.9
74,100052,20260608,1019,3,1,1,1,2,3.5,1.4,7.0,2.8,4.2
75,100052,20260608,1019,3,10,1,1,1,8.0,3.0,8.0,3.0,5.0
76,100052,20260608,1019,3,23,1,1,1,9.0,3.4,9.0,3.4,5.6
77,100053,20260730,804,2,18,3,2,1,5.0,1.8,5.0,1.8,3.2
78,100054,20260612,1220,3,20,2,1,2,6.5,2.4,13.0,4.8,8.2
